Season,Stage,Game,Date,Age,Age Precise,Team,Home/Away,Opponent,Outcome Win/Lose,Outcome Points Difference,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,GameScore,Plus/Minus
2016-17,Playoffs,13,25/5/17,32,32.4,CLE,Away,BOS,Win,33,34.7,13,18,0.722,4,7,0.571,5,8,0.625,1,7,8,8,3,1,2,4,35,34.9,36
2016-17,Playoffs,14,1/6/17,32,32.42,CLE,Away,GSW,Lose,-22,40,9,20,0.45,2,6,0.333,8,12,0.667,3,12,15,8,0,2,8,4,28,19.1,-22
2016-17,Playoffs,15,4/6/17,32,32.43,CLE,Away,GSW,Lose,-19,39.4,12,18,0.667,1,3,0.333,4,5,0.8,0,11,11,14,3,1,4,2,29,32.8,-11
2016-17,Playoffs,16,7/6/17,32,32.44,CLE,Home,GSW,Lose,-5,45.6,15,27,0.556,4,9,0.444,5,6,0.833,3,8,11,9,1,1,5,2,39,32.4,7
2016-17,Playoffs,17,9/6/17,32,32.44,CLE,Home,GSW,Win,21,40.8,11,22,0.5,3,8,0.375,6,10,0.6,1,9,10,11,1,0,2,2,31,27.7,32
2016-17,Playoffs,18,12/6/17,32,32.45,CLE,Away,GSW,Lose,-9,46.2,19,30,0.633,2,5,0.4,1,4,0.25,2,11,13,8,2,1,2,3,41,36.2,-13
2015-16,Regular,1,27/10/15,30,30.82,CLE,Away,CHI,Lose,-2,36.1,12,22,0.545,1,5,0.2,0,3,0,0,10,10,5,1,0,1,3,25,18.5,1
2015-16,Regular,2,28/10/15,30,30.83,CLE,Away,MEM,Win,30,30.8,4,13,0.308,0,3,0,4,8,0.5,1,6,7,5,3,0,3,1,12,8.5,10
2015-16,Regular,3,30/10/15,30,30.83,CLE,Home,MIA,Win,10,33.9,13,19,0.684,0,2,0,3,5,0.6,2,3,5,4,1,0,4,3,29,21,7
2015-16,Regular,4,2/11/15,30,30.84,CLE,Away,PHI,Win,7,33.3,9,19,0.474,0,3,0,4,4,1,0,9,9,11,4,2,3,3,22,23.9,21
