Season,Stage,Game,Date,Age,Age Precise,Team,Home/Away,Opponent,Outcome Win/Lose,Outcome Points Difference,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,GameScore,Plus/Minus
1991-92,Regular,40,22/1/92,28,28.93,CHI,Away,CHH,Win,3,43.00,7,18,0.389,1,2,0.5,8,8,1,2,4,6,4,2,2,5,2,23,16.2,
1991-92,Regular,41,24/1/92,28,28.93,CHI,Home,DET,Win,24,30.00,9,14,0.643,0,0,,2,2,1,1,1,2,5,0,2,2,0,20,17.7,
1991-92,Regular,42,25/1/92,28,28.94,CHI,Home,HOU,Win,14,41.00,12,27,0.444,3,3,1,8,10,0.8,0,3,3,5,4,1,4,2,35,24.4,
1991-92,Regular,43,28/1/92,28,28.95,CHI,Away,SAS,Lose,-5,44.00,15,31,0.484,0,1,0,9,11,0.818,0,9,9,7,4,0,3,3,39,29.9,
1991-92,Regular,44,30/1/92,28,28.95,CHI,Away,HOU,Lose,-3,43.00,9,26,0.346,0,1,0,4,4,1,2,3,5,5,3,0,1,3,22,14,
1991-92,Regular,45,31/1/92,28,28.95,CHI,Away,DAL,Win,15,37.00,10,17,0.588,0,1,0,5,6,0.833,2,8,10,9,1,0,1,3,25,25.6,
1991-92,Regular,46,2/2/92,28,28.96,CHI,Away,LAL,Win,6,44.00,13,27,0.481,1,1,1,6,8,0.75,0,8,8,11,2,0,5,4,33,24,
1991-92,Regular,47,3/2/92,28,28.96,CHI,Away,UTA,Lose,-3,56.00,13,34,0.382,1,1,1,7,9,0.778,2,11,13,8,2,1,2,5,34,23.6,
1991-92,Regular,48,11/2/92,28,28.98,CHI,Home,NJN,Win,20,34.00,13,23,0.565,0,0,,8,9,0.889,1,5,6,7,4,2,3,2,34,31.4,
1991-92,Regular,49,13/2/92,28,28.99,CHI,Away,NYK,Win,21,35.00,4,15,0.267,0,0,,9,11,0.818,0,2,2,5,1,0,1,1,17,11,
1991-92,Regular,50,15/2/92,28,28.99,CHI,Home,NYK,Win,1,42.00,9,24,0.375,0,0,,11,12,0.917,1,4,5,2,2,2,3,3,29,17.9,
1991-92,Regular,51,17/2/92,29,29,CHI,Home,CLE,Lose,-1,43.00,21,32,0.656,0,1,0,4,5,0.8,1,3,4,6,0,0,3,1,46,34,
1991-92,Regular,52,19/2/92,29,29.01,CHI,Away,ORL,Win,13,38.00,11,23,0.478,0,1,0,5,7,0.714,5,5,10,8,2,0,3,1,27,23.7,
1991-92,Regular,53,21/2/92,29,29.01,CHI,Away,ATL,Win,15,46.00,14,23,0.609,0,0,,5,6,0.833,1,9,10,14,4,0,4,2,33,34.5,
1991-92,Regular,54,22/2/92,29,29.01,CHI,Home,MIN,Win,15,35.00,13,27,0.481,0,3,0,4,6,0.667,2,4,6,8,1,2,1,2,30,24.3,
1991-92,Regular,55,25/2/92,29,29.02,CHI,Away,DET,Lose,-2,42.00,11,22,0.5,0,0,,1,3,0.333,1,3,4,6,4,1,1,2,23,19.9,
1991-92,Regular,56,26/2/92,29,29.02,CHI,Home,WSB,Win,19,27.00,10,17,0.588,1,3,0.333,5,6,0.833,2,2,4,1,2,0,0,0,26,22.4,
1991-92,Regular,57,28/2/92,29,29.03,CHI,Away,MIL,Win,4,41.00,8,18,0.444,0,0,,8,10,0.8,1,5,6,6,2,2,2,2,24,20.8,
1991-92,Regular,58,1/3/92,29,29.04,CHI,Home,POR,Win,20,36.00,10,23,0.435,0,2,0,11,12,0.917,0,9,9,7,3,0,5,3,31,22.9,
1991-92,Regular,59,3/3/92,29,29.04,CHI,Home,IND,Lose,-2,39.00,12,21,0.571,0,0,,3,5,0.6,2,5,7,5,0,1,2,3,27,20.2,
1991-92,Regular,60,5/3/92,29,29.05,CHI,Away,MIN,Win,13,39.00,14,26,0.538,0,0,,5,5,1,1,4,5,5,1,1,1,3,33,25.3,
1991-92,Regular,61,6/3/92,29,29.05,CHI,Home,MIA,Win,42,28.00,12,20,0.6,0,1,0,3,3,1,0,6,6,2,2,1,2,2,27,20.9,
1991-92,Regular,62,8/3/92,29,29.05,CHI,Away,PHI,Win,4,43.00,12,26,0.462,0,1,0,10,13,0.769,3,8,11,8,1,0,1,3,34,28.3,
1991-92,Regular,63,11/3/92,29,29.06,CHI,Home,BOS,Win,34,35.00,14,23,0.609,0,0,,4,4,1,0,13,13,3,0,2,4,2,32,24.1,
1991-92,Regular,64,14/3/92,29,29.07,CHI,Away,ORL,Win,16,38.00,11,22,0.5,0,1,0,4,4,1,1,9,10,9,5,0,3,1,26,26.3,
1991-92,Regular,65,16/3/92,29,29.08,CHI,Away,MIA,Win,16,39.00,15,27,0.556,0,2,0,7,7,1,2,7,9,13,0,1,3,1,37,34,
1991-92,Regular,66,17/3/92,29,29.08,CHI,Away,NJN,Win,11,45.00,16,32,0.5,0,0,,8,12,0.667,4,6,10,4,2,2,1,3,40,31,
1991-92,Regular,67,19/3/92,29,29.08,CHI,Away,WSB,Win,6,43.00,19,30,0.633,1,1,1,12,15,0.8,2,9,11,3,1,1,0,3,51,43.1,
1991-92,Regular,68,21/3/92,29,29.09,CHI,Home,ORL,Lose,-3,38.00,10,22,0.455,0,0,,5,7,0.714,6,9,15,4,2,1,3,1,25,21.8,
1991-92,Regular,69,24/3/92,29,29.1,CHI,Home,DEN,Win,13,41.00,18,31,0.581,2,3,0.667,12,13,0.923,0,6,6,6,3,0,3,0,50,41.1,
1991-92,Regular,70,28/3/92,29,29.11,CHI,Home,CLE,Win,24,37.00,21,32,0.656,0,1,0,2,2,1,0,4,4,6,3,0,1,2,44,36.6,
1991-92,Regular,71,31/3/92,29,29.12,CHI,Away,NYK,Win,6,40.00,13,23,0.565,0,1,0,10,12,0.833,3,1,4,3,3,1,3,1,36,29.1,
1991-92,Regular,72,1/4/92,29,29.12,CHI,Home,CHH,Win,6,39.00,11,22,0.5,1,3,0.333,8,10,0.8,1,1,2,5,3,0,2,2,31,23.9,
1991-92,Regular,73,3/4/92,29,29.13,CHI,Home,LAC,Win,11,42.00,5,17,0.294,0,2,0,5,6,0.833,0,6,6,7,2,0,5,4,15,6.8,
1991-92,Regular,74,5/4/92,29,29.13,CHI,Away,BOS,Lose,-11,40.00,12,28,0.429,0,3,0,2,2,1,0,2,2,2,3,0,3,4,26,11.6,
1991-92,Regular,75,7/4/92,29,29.14,CHI,Home,MIL,Win,15,37.00,12,22,0.545,2,5,0.4,4,4,1,0,5,5,7,6,1,3,3,30,28.3,
1991-92,Regular,76,10/4/92,29,29.15,CHI,Away,IND,Win,12,42.00,16,30,0.533,1,1,1,2,4,0.5,0,4,4,6,4,0,1,3,35,26.8,
1991-92,Regular,77,11/4/92,29,29.15,CHI,Home,IND,Win,2,37.00,8,20,0.4,0,0,,7,7,1,1,4,5,8,5,1,1,2,23,23.6,
1991-92,Regular,78,13/4/92,29,29.15,CHI,Home,ATL,Win,7,23.00,6,12,0.5,0,1,0,0,0,,0,1,1,7,3,1,2,1,12,12.5,
1991-92,Regular,79,17/4/92,29,29.16,CHI,Away,ATL,Win,26,32.00,9,16,0.563,0,0,,3,4,0.75,1,3,4,8,0,0,5,4,21,13.6,
1991-92,Regular,80,19/4/92,29,29.17,CHI,Home,DET,Win,18,39.00,9,17,0.529,0,0,,14,15,0.933,0,2,2,7,2,1,7,2,32,23.7,
1991-92,Playoffs,1,24/4/92,29,29.18,CHI,Home,MIA,Win,19,41.00,21,34,0.618,0,0,,4,4,1,1,10,11,9,3,1,5,4,46,37.7,
1991-92,Playoffs,2,26/4/92,29,29.19,CHI,Home,MIA,Win,30,35.00,12,23,0.522,0,0,,9,10,0.9,4,9,13,6,2,0,4,3,33,27.8,
1991-92,Playoffs,3,29/4/92,29,29.2,CHI,Away,MIA,Win,5,43.00,20,30,0.667,0,0,,16,18,0.889,1,4,5,5,4,2,2,3,56,49.8,
1991-92,Playoffs,4,5/5/92,29,29.21,CHI,Home,NYK,Lose,-5,44.00,12,23,0.522,0,0,,7,8,0.875,1,5,6,3,1,3,2,4,31,23.1,
1991-92,Playoffs,5,7/5/92,29,29.22,CHI,Home,NYK,Win,8,43.00,12,24,0.5,0,0,,3,8,0.375,1,5,6,5,3,0,2,2,27,18.9,
1991-92,Playoffs,6,9/5/92,29,29.22,CHI,Away,NYK,Win,8,44.00,12,24,0.5,1,3,0.333,7,10,0.7,1,8,9,3,3,1,6,2,32,20.9,
1991-92,Playoffs,7,10/5/92,29,29.23,CHI,Away,NYK,Lose,-7,44.00,12,26,0.462,0,2,0,5,6,0.833,2,2,4,4,0,0,0,1,29,19.6,
1991-92,Playoffs,8,12/5/92,29,29.23,CHI,Home,NYK,Win,8,40.00,11,23,0.478,0,0,,15,17,0.882,2,3,5,3,1,0,4,3,37,24.7,
1991-92,Playoffs,9,14/5/92,29,29.24,CHI,Away,NYK,Lose,-14,45.00,9,25,0.36,1,5,0.2,2,4,0.5,0,4,4,8,0,1,7,0,21,6.8,
1991-92,Playoffs,10,17/5/92,29,29.25,CHI,Home,NYK,Win,29,42.00,15,29,0.517,0,0,,12,13,0.923,3,3,6,4,2,3,5,3,42,31,
1991-92,Playoffs,11,19/5/92,29,29.25,CHI,Home,CLE,Win,14,40.00,15,29,0.517,1,2,0.5,2,2,1,1,5,6,7,2,1,1,0,33,27.5,
1991-92,Playoffs,12,21/5/92,29,29.26,CHI,Home,CLE,Lose,-26,35.00,7,22,0.318,0,0,,6,7,0.857,8,3,11,3,3,2,6,3,20,12.8,
1991-92,Playoffs,13,23/5/92,29,29.26,CHI,Away,CLE,Win,9,43.00,13,27,0.481,1,1,1,9,10,0.9,3,3,6,9,1,0,5,3,36,26,
1991-92,Playoffs,14,25/5/92,29,29.27,CHI,Away,CLE,Lose,-14,44.00,15,33,0.455,1,3,0.333,4,5,0.8,2,3,5,6,3,0,5,3,35,20.8,
1991-92,Playoffs,15,27/5/92,29,29.27,CHI,Home,CLE,Win,23,39.00,13,28,0.464,0,0,,11,12,0.917,0,3,3,5,4,0,0,4,37,29,
